experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Motion-reference,motion_reference,42,40,,,165.112963425,8.000000000,0.000100000,0.871913247,0.857151718,0.866842772,11.892952833,12.183164357
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Random,random,42,40,,,165.112963425,8.000000000,0.000100000,0.190649502,0.178972621,0.161921032,11.348248579,11.513434245
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,40,3,4,165.112963425,8.000000000,0.000100000,0.217664374,0.199306365,0.182152818,11.184973816,11.363001134
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,RAT-fusion,rat_fusion,42,40,,,165.112963425,8.000000000,0.000100000,0.473121092,0.464309909,0.454732893,11.829535844,12.069296123
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,40,3,4,165.112963425,8.000000000,0.000100000,0.239126436,0.220430261,0.204520357,11.218351331,11.396438738
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,VideoMAE-only,videomae_only,42,40,,,165.112963425,8.000000000,0.000100000,0.145403915,0.127478647,0.111290151,10.811366594,10.969285526
E2,Basketball_v_Basketball_g01_c01,Basketball,RAT+traj,rat_traj,42,10,,,95.667865275,8.000000000,0.000100000,0.035573588,0.037097490,0.033870780,16.997477117,17.329428071
E2,Basketball_v_Basketball_g01_c01,Basketball,Motion-reference,motion_reference,42,10,,,95.667865275,8.000000000,0.000100000,0.605528394,0.503776512,0.574899676,17.567142841,17.965315592
E2,Basketball_v_Basketball_g01_c01,Basketball,Random,random,42,10,,,95.667865275,8.000000000,0.000100000,0.049650081,0.055604555,0.050472541,17.504927216,17.868381975
E2,Basketball_v_Basketball_g01_c01,Basketball,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,10,3,4,95.667865275,8.000000000,0.000100000,0.013400575,0.021325692,0.014387216,17.734761161,18.056005176
E2,Basketball_v_Basketball_g01_c01,Basketball,RAT-fusion,rat_fusion,42,10,,,95.667865275,8.000000000,0.000100000,0.069583323,0.063071732,0.063268878,17.209418911,17.550570600
E2,Basketball_v_Basketball_g01_c01,Basketball,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,10,3,4,95.667865275,8.000000000,0.000100000,0.011983503,0.019717180,0.012789781,17.727718754,18.067728172
E2,Basketball_v_Basketball_g01_c01,Basketball,VideoMAE-only,videomae_only,42,10,,,95.667865275,8.000000000,0.000100000,0.005606677,0.016578777,0.007776739,18.306030921,18.774425484
E2,Basketball_v_Basketball_g01_c01,Basketball,RAT+traj,rat_traj,42,20,,,135.294792555,8.000000000,0.000100000,0.102394460,0.088390329,0.090129263,14.154015854,14.325628220
E2,Basketball_v_Basketball_g01_c01,Basketball,Motion-reference,motion_reference,42,20,,,135.294792555,8.000000000,0.000100000,0.464073152,0.409146375,0.433677296,14.552629503,14.764556943
E2,Basketball_v_Basketball_g01_c01,Basketball,Random,random,42,20,,,135.294792555,8.000000000,0.000100000,0.094351081,0.101457993,0.094743196,14.721186309,14.919872773
E2,Basketball_v_Basketball_g01_c01,Basketball,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,20,3,4,135.294792555,8.000000000,0.000100000,0.050897651,0.050154167,0.049163114,14.792276334,14.942662747
E2,Basketball_v_Basketball_g01_c01,Basketball,RAT-fusion,rat_fusion,42,20,,,135.294792555,8.000000000,0.000100000,0.157412905,0.141384491,0.147034748,14.386615015,14.557626731
E2,Basketball_v_Basketball_g01_c01,Basketball,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,20,3,4,135.294792555,8.000000000,0.000100000,0.067176283,0.065843981,0.066263099,14.830670722,15.009339991
E2,Basketball_v_Basketball_g01_c01,Basketball,VideoMAE-only,videomae_only,42,20,,,135.294792555,8.000000000,0.000100000,0.021956151,0.028517126,0.025672091,15.508981582,15.786709335
E2,Basketball_v_Basketball_g01_c01,Basketball,RAT+traj,rat_traj,42,30,,,165.701603308,8.000000000,0.000100000,0.171969411,0.156854406,0.160039663,12.415313373,12.519079393
